loan_id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,loan_status,purpose,dti,delinq_2yrs,open_acc,pub_rec,revol_util,total_acc,addr_state,issue_d,is_default
LC000001,35000,36,14.69,1207.98,C,C1,3 years,RENT,121727,Fully Paid,other,1.34,0,19,0,56.1,39,MO,2021-04-01,0
LC000002,7500,36,21.39,284.07,E,E2,5 years,RENT,23147,Late (31-120 days),home_improvement,38.14,0,28,0,45.9,31,WA,2016-09-01,1
LC000003,7500,60,16.47,184.26,C,C3,1 year,RENT,46803,Fully Paid,credit_card,17.11,0,29,0,37.0,35,NC,2016-10-01,0
LC000004,5000,36,9.13,159.3,B,B4,10+ years,MORTGAGE,45534,Current,credit_card,14.2,0,9,1,56.7,19,OH,2022-07-01,0
LC000005,40000,36,5.88,1214.7,A,A2,8 years,OWN,94169,Default,debt_consolidation,44.89,0,5,0,86.1,9,PA,2021-10-01,1
LC000006,15000,60,14.36,351.83,C,C4,8 years,MORTGAGE,91013,Current,credit_card,13.21,0,3,1,87.6,11,IN,2017-09-01,0
LC000007,7500,60,12.51,168.77,B,B5,2 years,RENT,76734,Fully Paid,home_improvement,37.42,0,4,0,56.7,6,NY,2022-02-01,0
LC000008,12000,60,8.02,243.43,A,A4,2 years,RENT,113089,Fully Paid,car,31.04,1,15,2,65.0,29,IN,2022-02-01,0
LC000009,7500,60,8.44,153.66,A,A5,3 years,RENT,78557,Current,debt_consolidation,3.19,0,24,0,53.9,42,MD,2022-04-01,0
LC000010,7500,36,7.91,234.71,A,A1,5 years,OWN,58556,Current,home_improvement,36.03,0,9,0,44.9,22,PA,2019-08-01,0
LC000011,12000,60,12.61,270.65,B,B5,10+ years,OTHER,37260,Current,debt_consolidation,7.41,0,15,0,78.4,29,MI,2021-12-01,0
LC000012,5000,36,15.01,173.35,C,C4,4 years,RENT,37552,Late (31-120 days),debt_consolidation,38.37,0,19,0,18.6,38,NY,2018-07-01,1
LC000013,15000,36,11.86,497.21,B,B5,1 year,OWN,75549,Current,debt_consolidation,10.74,0,24,0,45.7,26,CA,2022-10-01,0
LC000014,35000,60,7.45,700.5,A,A2,2 years,MORTGAGE,56912,Current,credit_card,44.43,0,3,0,55.5,6,IL,2019-02-01,0
LC000015,30000,36,8.63,948.83,A,A3,5 years,RENT,76007,Current,home_improvement,2.29,0,29,0,0.4,33,NC,2017-12-01,0
LC000016,10000,36,13.17,337.76,C,C1,2 years,OWN,129261,Fully Paid,debt_consolidation,16.41,3,30,0,35.8,37,FL,2020-09-01,0
LC000017,25000,60,16.46,614.08,C,C2,3 years,MORTGAGE,88079,Fully Paid,medical,36.48,0,28,0,38.3,29,TN,2018-04-01,0
LC000018,15000,36,11.04,491.36,B,B2,10+ years,RENT,21942,Default,debt_consolidation,30.58,1,13,1,11.5,21,PA,2019-01-01,1
LC000019,5000,60,9.01,103.82,B,B3,8 years,RENT,99235,Current,credit_card,41.65,0,26,1,73.7,32,VA,2021-02-01,0
LC000020,15000,36,13.77,510.99,C,C1,4 years,OWN,80386,Fully Paid,other,29.92,0,26,1,61.6,35,WA,2015-05-01,0
LC000021,10000,60,14.14,233.41,C,C3,7 years,MORTGAGE,68092,Charged Off,credit_card,29.87,0,5,0,75.1,14,GA,2018-03-01,1
LC000022,25000,36,29.98,1061.02,G,G5,1 year,OWN,141875,Charged Off,major_purchase,29.52,0,27,1,88.5,40,GA,2017-12-01,1
LC000023,35000,36,16.63,1241.41,C,C1,7 years,MORTGAGE,91707,Fully Paid,credit_card,20.07,0,30,0,25.9,37,NC,2022-11-01,0
LC000024,12000,36,18.63,437.63,D,D2,5 years,MORTGAGE,57741,Default,debt_consolidation,24.42,0,9,0,38.9,27,CA,2021-08-01,1
LC000025,12000,36,10.09,387.71,B,B4,6 years,OWN,177688,Current,small_business,21.85,0,24,0,40.4,29,MA,2017-10-01,0
